CON-0145;TERMINAL PARA CONTACTOR 5/8;UND;;0;1;1;0;CONSUMIBLES;ACTIVO
CON-0146;TIRROS BLANCO 3M;UND;;19.25;97;60;37;CONSUMIBLES;ACTIVO
PLO-0123;"TORNILLOS TIRAFONDO 3""";UND;;7.99;24;0;24;PLOMERIA;ACTIVO
PLO-0124;TORNILLOS LARGOS C/ARANDELA Y TUERCAS;UND;;25.01;0;0;0;PLOMERIA;ACTIVO
HER-0057;TAPA CIEGA 4X2 EMT;UND;;3.36;14;14;0;HERRAMIENTAS;ACTIVO
HER-0058;TIRRO ANTI-RESBALANTE PISO;UND;;13.00;8;5;3;HERRAMIENTAS;ACTIVO
HER-0059;TORNILLOS RAMPLUS AZUL 8X3/4;UND;;6.99;24;24;0;HERRAMIENTAS;ACTIVO
ELE-0266;TABLA PINO 3.66X25X2.05CM;UND;;0;24;21;3;ELECTRICIDAD;ACTIVO
ELE-0267;TORNILLOS TIRAFONDO 1/1;UND;;0;100;100;0;ELECTRICIDAD;ACTIVO
MAT-0116;TORNILLOS DRYWALL PEQUEÑOS;UND;;7.99;50;50;0;MATERIALES;ACTIVO
ELE-0268;TALADRO ROJO;UND;;59.00;1;0;1;ELECTRICIDAD;ACTIVO
PIN-0047;THINNER LITROS;LT;;4.30;554;354;297;PINTURA;ACTIVO
PIN-0048;TORNILLOS 7 16X6 90UND;PAQ;;1.37;393;343;50;PINTURA;ACTIVO
MAT-0117;TORNILLOS 8 1/2 90UND;PAQ;;2.30;1208;1208;0;MATERIALES;ACTIVO
MAT-0118;"TORNILLOS DRYWALL 1"" 2.5MM";PAQ;;1.21;30;30;0;MATERIALES;ACTIVO
PLO-0125;TORNILLOS DRYWALL 6X1 1/2;PAQ;;1.00;0;0;0;PLOMERIA;ACTIVO
CON-0147;TOPE DIALGOGI P/PUERTA;UND;;7.33;1;1;0;CONSUMIBLES;ACTIVO
ELE-0269;TEIPE ELECTRICO;UND;;4.28;1;1;0;ELECTRICIDAD;ACTIVO
CON-0148;"TUBO PVC 4""";UND;;15.16;1;1;0;CONSUMIBLES;ACTIVO
HER-0060;TUBO HP CUAD 2X2X2MMX6MTS;UND;;44.51;1;1;0;HERRAMIENTAS;ACTIVO
HER-0061;TUBO RED VENT 1 1/4X2MMX6MTS;UND;;33.96;2;2;0;HERRAMIENTAS;ACTIVO
CON-0149;TUBO HP CUAD 1/2X1/2X0 90MMX6MTS;UND;;5.26;38;38;0;CONSUMIBLES;ACTIVO
CON-0150;TOR 6X1 RF 90UND;PAQ;;3.80;15;15;0;CONSUMIBLES;ACTIVO
CON-0151;"UNION 2"" ELECTRICIDAD";UND;;38.67;4;2;2;CONSUMIBLES;ACTIVO
CON-0152;"UNION A/F 3/4""";UND;;5.60;3;3;0;CONSUMIBLES;ACTIVO
HER-0062;"UNION PVC 1""";UND;;0.17;24;1;23;HERRAMIENTAS;ACTIVO
ELE-0270;"UNION PVC A/F SOLDADA 1/2""";UND;;6.01;9;7;2;ELECTRICIDAD;ACTIVO
